""								Mass	
""		Measured						error	
"#"	RT	m/z Others CE	IdenPtiSf ied compound		ESI	Adduct	Calculated m/z	(ppm)	CODE
66	5.22	725.4219129 PI(26:0)			negative	[M-H]-	725.4241	3.0	LMGP06010949
67	6.09	753.4542539 PI(28:0)			negative	[M-H]-	753.4554	1.5	LMGP06010890
""		807.5009848			negative	[M-H]-	807.5024	1.7	
68	7.59	PI(32:1)							LMGP06010027
""		826.5433157			positive	[M+NH ]+ 4	826.544	0.8	
69	6.75	805.4878915 PI(32:2)			negative	[M-H]-	805.4867	1.5	LMGP06010028
70	2.39	464.2783109 Lyso-PS(O-16:0)			negative	[M-H2O-H]  -	464.2777	1.3	LMGP03060003
71	2.73	522.2828151 Lyso-PS(18:1)			negative	[M-H]-	522.2832	0.7	LMGP03050001
72	8.86	1674.098597 PS(18:1(9Z)/22:4(7Z,10Z,13Z,16Z))			negative	[2M-H]-	1674.0962	1.5	LMGP03010339
73	7.21	732.4810489 PS(32:1)			negative	[M-H]-	732.4816	0.7	LMGP03010059
74	6.37	730.4675723 PS(32:2)			negative	[M-H]-	730.4659	2.3	LMGP03010060
75	8.61	760.5104737 PS(34:1)			negative	[M-H]-	760.5129	3.1	LMGP03010007
76	15.60	680.6299566 lanosteryl palmitoleate			positive	[M+NH 4] +	680.634	5.9	LMST01031008
77	15.69	652.599399 episteryl palmitoleate			positive	[M+NH ]+ 4	652.6027	5.1	LMST01031009
78	15.29	650.5845811 ergosteryl palmitoleate			positive	[M+NH ]+ 4	650.5871	3.8	LMST01031011
79	0.99	374.9649451 1Dmyoinositol 4,5bisphosphate			negative	[M+Cl]-	374.9655	1.3	YMDB00764
80	4.24	338.3406948 Eicosanoyl-EA			positive	[M+H-H O]+ 2	338.3412	1.4	LMFA08040038
81	1.22	626.184247 N-Acetyl-D-glucosaminyldiphosphodolichol			positive	[M+K]+	626.1892	7.9	YMDB00934
