""									Mass	
""		Measured							error	
PI#	RTP G	m/z		PE	Identified compound	ESI	Adduct	Calculated m/z	(ppm)	CODE
""		776.5392322				negative	[M+HCOO]-	776.5442	6.3	
""		730.5384368				positive	[M+H]+	730.5381	0.4	
50	6.42	774.5284523	PC(32:2)			negative	[M+HCOO]-	774.5285	0.1	LMGP01010494
""		1460.077265				positive	[2M+H]+	1460.069	5.7	
51	7.73	1518.13629	PC(33:0)			positive	[2M+Na]+	1518.1448	5.6	LMGP01010399
52	7.71	804.5717026	PC(34:1)			negative	[M+HCOO]-	804.5755	4.7	LMGP01010005
53	2.14	450.2612786	Lyso-PE(16:1)			negative	[M-H]-	450.2621	1.8	LMGP02050010
54	2.84	510.3549121	Lyso-PE(20:0)			positive	[M+NH ]+ 4	510.3554	1.0	LMGP02050012
55	7.32	690.506157	PE(32:1)			positive	[M+H]+	690.5068	1.0	LMGP02010395
""		688.4905073				positive	[M+H]+	688.4912	1.0	
56	6.48		PE(32:2)							LMGP02010354
""		686.4756215				negative	[M-H]-	686.4761	0.7	
""		718.5336018				positive	[M+H]+	718.5381	6.3	
57	8.66		PE(34:1)							LMGP02010009
""		716.5195158				negative	[M-H]-	716.523	4.9	
""		716.5205389				positive	[M+H]+	716.5225	2.7	
58	7.76		PE(34:2)							LMGP02011220
""		714.5071909				negative	[M-H]-	714.5079	1.0	
""		761.5784066				positive	[M+NH4]+	761.5803	2.5	
59	8.69		PE(36:2)							LMGP02010510
""		742.5365784				negative	[M-H]-	742.5387	2.8	
60	10.00	772.5857109	PE(38:2)			positive	[M+H]+	772.5851	0.8	LMGP02010513
61	2.67	495.2717184	Lyso-PG(17:1)			negative	[M-H]-	495.2723	1.2	LMGP04050036
62	8.77	719.4848965	PG(32:1)			negative	[M-H]-	719.4863	2.0	LMGP04010059
63	8.60	763.5465134	PG(O-34:3)			positive	[M+CH OH+H]+ 3	763.5484	2.4	LMGP04020077
64	5.67	792.572821	PG(36:2)			positive	[M+NH ]+ 4	792.5749	2.6	LMGP04010107
65	2.92	597.3032118	Lyso-PI(18:1)			negative	[M-H]-	597.304	1.3	LMGP06050005
